extraversion,agreeableness,conscientiousness,neuroticism,openness,implusiveness,rational,experiential,normative.influence,informational.influence,need_for_closure,utilitarian,hedonic,individual,collective
3,3.666666667,3,4,4,1.551656837,1.11742044,-0.93882553,3,4,0.807882274,0.409120224,-1.30245491,0.38537908,-0.0336164
3.5,3,4,2.5,3.5,-0.851734893,-0.392088669,-0.006913086,5,4,-1.295750231,-0.236149638,1.004450165,1.11844267,0.85503936
2.5,3,4.5,4,3.5,-0.445102129,0.093516134,-1.41320092,3,3,0.654186771,-1.057409605,-2.37980391,0.28615849,-0.0632458
4,4,4.5,2,4,0.366696566,0.093516134,-0.006913086,2,3,0.54569287,-1.15541476,0.061836321,0.38537908,-0.0336164
4,3,3.5,1.5,2.5,0.771862497,0.093516134,0.450623966,1,1,0.14510219,-0.464263842,-0.319757214,-0.3519733,0.91980836
4,4.666666667,5,1.5,4,-1.038315681,0.579120937,-1.870737973,2,3,1.533954657,0.23197194,0.037486339,-1.062766,0.52854587
1,4.333333333,3.5,3,4.5,-0.851734893,-0.444783369,0.450623966,1,1,-0.873066973,-0.702354535,-0.269439676,-0.3498289,-0.0012319
1,4.666666667,4.5,2,3,-0.446568963,0.579120937,-0.498126815,4,2,-1.018607139,-0.113685732,0.068147389,0.38323467,0.88742386
2,3.666666667,5,5,2,-0.851734893,0.093516134,-0.955663868,2,3,-0.741464048,-0.571666396,-0.019142266,-0.4246342,-0.4545083
2,3.333333333,4,2,3,-0.039936198,0.093516134,-0.006913086,3,4,-0.255488491,-0.571666396,-0.019142266,0.38537908,-0.0336164
4.5,4,3.5,2.5,3,0.146644589,0.093516134,-0.481288477,2,2,-0.218442226,0.567488698,1.061078771,0.34083732,-1.0284029
3.5,4.666666667,3.5,3,4.5,0.553277354,0.579120937,-0.006913086,2,3,1.330904096,-0.333575703,-0.069459804,-0.5238548,-0.4841378
3,2.333333333,5,3.5,5,0.958443285,0.579120937,-1.41320092,3,5,0.821819514,-0.650809526,-1.120841248,0.48674409,-0.9250271
4.5,4.666666667,4.5,4.5,1,1.738237624,-2.439897281,1.38253641,1,1,-0.89515955,-2.691772534,-0.136322095,0.44005791,-0.9987734
3,3.666666667,4.5,3,3,2.55003632,0.579120937,0.450623966,5,5,-0.873066973,0.567406485,0.900943053,0.40764997,0.46377687
3.5,3,3,3.5,3.5,0.553277354,-0.392088669,0.450623966,4,4,0.290642356,-0.0338813,-2.185568111,-1.204384,-1.4169103
2.5,4,4.5,2,4,-0.851734893,-0.392088669,-0.481288477,3,3,-0.363982392,0.012081969,-0.100120853,-0.3498289,-0.0012319
3,2.666666667,4,2.5,2,1.365076049,-1.415992975,-0.023751424,3,2,0.035591841,-0.297174258,-0.445309265,0.16466702,-0.5902686
2,4.333333333,3,2.5,2.5,-0.631682916,0.093516134,-0.93882553,1,3,-0.255488491,0.048483414,-0.475970314,-1.062766,0.52854587
1,5,5,5,3,-1.038315681,-0.444783369,0.908161019,1,1,-1.404244132,-0.351694212,0.278600644,1.24207856,0.46102183
2.5,4,4,2.5,3,-0.445102129,0.093516134,-0.481288477,4,4,0.422245281,0.011999756,-0.260256571,-0.4490495,-0.0308613
2,2.333333333,5,4.5,1.5,-0.445102129,-1.901597778,-1.41320092,1,2,-1.404244132,-0.351694212,0.278600644,1.19539238,0.38727558
2,3.666666667,4,2,4,-0.851734893,0.093516134,0.450623966,2,4,1.499553287,0.524664799,-0.576605389,-1.2834781,-0.0281063
2.5,5,3.5,2,3,-0.258521341,0.093516134,0.450623966,2,3,1.499553287,-0.006118753,0.087803877,-0.327558,0.49616137
1.5,4,2.5,2,1,0.58528171,-0.444783369,-0.481288477,1,3,0.504493149,0.37271878,-0.926605449,-0.327558,0.49616137
2,4,5,2.5,4.5,-0.851734893,1.11742044,0.924999357,4,3,-0.569677848,0.012081969,-0.100120853,0.20920878,0.40451793
4.5,4.666666667,3.5,1.5,5,0.771862497,1.11742044,1.38253641,1,3,2.539815027,-0.589867118,0.168782464,-1.9216099,0.9549479
2,4.333333333,4,4,4,-0.851734893,0.093516134,-1.41320092,1,3,-0.14699459,0.012081969,-0.100120853,-1.0383507,0.10489888
3,4.333333333,2.5,2.5,4.5,1.365076049,0.093516134,-0.006913086,3,3,-0.195333201,-0.430919555,-0.983234055,1.04363738,0.4017629
2,4,3,3,5,-0.038469364,0.579120937,0.450623966,1,5,-0.195333201,0.012164182,0.060014864,-0.4267786,0.4665319
1.5,2.666666667,3,5,4.5,0.958443285,-0.930388172,1.38253641,3,3,-1.12710104,0.142687896,-0.009959161,0.2617432,0.36040115
4,4,4,2,4,0.146644589,0.093516134,-0.006913086,2,3,0.190303792,-2.399079675,-0.750413824,-0.4713204,-0.5282546
3.5,2.333333333,2,2,3.5,0.959910119,-0.877693472,-1.41320092,2,3,0.713325614,-0.528345621,-2.057144024,-0.3720998,-0.4986251
1,4,3.5,1.5,4,-0.446568963,-0.877693472,-0.481288477,2,2,0.035591841,-0.085261883,-1.013895104,-0.3498289,-0.0012319
2,4,2,4,4,-0.071940554,-0.983082871,0.450623966,3,4,-0.363982392,1.072011719,-0.281734516,-1.0850369,0.03115263
3,4.333333333,4,2,3,0.146644589,1.11742044,1.38253641,5,5,-1.404244132,0.488263355,-0.200755929,1.21766327,0.88466882
3,3.666666667,4,3.5,4.5,0.366696566,0.093516134,-0.481288477,3,3,-0.255488491,-1.047929994,-0.078642909,-0.3498289,-0.0012319
2.5,4,4.5,1.5,4,-0.631682916,0.093516134,-0.006913086,1,1,-0.14699459,-0.950503929,0.99526706,-0.2283374,0.52579084
3.5,4.333333333,3.5,3,5,0.146644589,0.579120937,0.450623966,3,4,0.167194767,-0.571666396,-0.019142266,-0.327558,0.49616137
3.5,3.333333333,5,2.5,4,-0.038469364,0.579120937,0.450623966,1,2,0.422245281,-1.411706175,0.300078589,-0.5726854,0.36315618
5,4,3,1,5,-0.226516986,0.093516134,0.450623966,4,4,0.130148501,-0.384956286,1.102213203,-0.2039221,0.10214385
3.5,3.333333333,4,2,2.5,-0.445102129,0.093516134,-0.006913086,3,4,-0.363982392,0.470144845,0.14730452,-0.9391302,0.13452835
2.5,4,4.5,2.5,3,-0.226516986,0.093516134,-0.481288477,3,4,-0.363982392,0.488263355,-0.200755929,0.28615849,-0.0632458
3.5,4.666666667,3.5,2.5,5,0.773329331,-0.392088669,0.450623966,2,4,-0.326936126,0.949547814,0.65456826,-1.1864019,0.92256339
3,3,3,3,3,0.958443285,-0.930388172,-0.481288477,3,3,0.676279348,-0.412801046,-1.331294503,-0.4469051,-0.9519016
4,4,3,2,4.5,1.145024072,-1.954292478,0.450623966,3,4,1.499553287,-0.571666396,-0.019142266,-0.3943707,-0.9960184
3.5,4.333333333,4.5,2,3,-0.039936198,0.093516134,0.450623966,2,4,0.407291593,0.488263355,-0.200755929,0.38537908,-0.0336164
4.5,4.666666667,5,1,3,-0.445102129,0.579120937,0.450623966,3,4,0.567785448,0.488263355,-0.200755929,1.1731215,-0.1101177
3.5,5,4.5,1.5,4.5,-1.038315681,1.11742044,0.450623966,4,4,1.354013121,0.329315792,0.95126059,1.14285797,0.43139236
2.5,4,4.5,1,3,-0.291992531,0.093516134,0.908161019,2,4,0.044763626,0.142687896,-0.009959161,0.38537908,-0.0336164
4,3.333333333,3,3,3.5,1.178495262,0.093516134,0.450623966,4,4,-0.363982392,0.506464077,-0.388680659,0.38537908,-0.0336164
4,3.666666667,3.5,1,4,1.956822768,0.631815637,0.924999357,4,4,0.036608289,0.012081969,-0.100120853,0.46018438,0.41966008
2.5,4,4.5,3,4,-0.445102129,0.093516134,-0.481288477,3,4,0.699388373,0.091307312,1.161713846,0.20920878,0.40451793
2.5,3.666666667,5,3,5,-0.851734893,0.093516134,0.450623966,3,4,-0.509522558,0.488263355,-0.200755929,-0.2527527,0.94943783
4,3.333333333,4,2,4,0.146644589,0.093516134,-0.006913086,4,3,0.699388373,0.488263355,-0.200755929,0.3631082,-0.5310096
4.5,4,3,2,4.5,2.143403555,0.093516134,0.450623966,2,2,0.945267103,0.012081969,-0.100120853,-1.2834781,-0.0281063
2.5,3.666666667,4,3,4,0.553277354,0.631815637,0.450623966,3,4,-1.150210065,0.127626544,0.625728667,0.4379135,-0.0777332
5,4.666666667,5,1,5,-1.038315681,1.11742044,-2.345113364,1,2,1.716541088,1.389327755,0.929782646,-1.062766,0.52854587
2.5,4,5,3.5,5,0.146644589,0.631815637,0.924999357,3,3,2.22562567,-0.31537498,-0.257384534,1.19539238,0.38727558
2,3.333333333,4.5,2.5,4.5,-0.445102129,0.093516134,-0.481288477,2,3,1.571000922,-0.430919555,-0.983234055,0.26603202,-1.4816793
2.5,4,4,3,3.5,-0.851734893,-0.930388172,0.450623966,2,3,-0.363982392,0.390919502,-1.11453018,-0.4490495,-0.0308613
5,4.666666667,5,3,3,-1.038315681,0.093516134,0.450623966,1,3,-0.981560874,1.151237062,0.980100183,0.36096379,0.39003062
2,4.666666667,5,2.5,2,-0.041403032,-0.930388172,0.924999357,1,2,1.316966855,0.567488698,1.061078771,-0.9635454,0.55817534
2.5,3.666666667,2,3,2.5,0.991914474,0.631815637,-0.023751424,4,5,-0.618016459,0.142687896,-0.009959161,0.33284467,0.01050041
4.5,4,5,4,4.5,-1.038315681,0.579120937,1.38253641,5,5,-1.295750231,-0.226008724,-0.049803316,-2.1200511,0.89568896
1.5,3,3.5,4,4.5,-0.039936198,-0.877693472,-0.023751424,3,4,0.021654601,-0.431001768,-1.143369773,-0.4469051,-0.9519016
4,4.333333333,5,1,2.5,-0.851734893,0.093516134,-0.481288477,1,4,0.844928539,0.232054152,0.197622057,-0.9879607,0.98182233
2,2.333333333,3.5,3.5,5,0.146644589,0.093516134,-1.41320092,2,4,-0.741464048,-0.226090937,-0.209939034,0.41778703,-1.4961666
1,4,3,2,4.5,-0.631682916,-1.363298276,0.450623966,4,4,-0.641125484,0.567488698,1.061078771,1.11844267,0.85503936
4,3.333333333,3,3,4,0.365229733,-0.877693472,-0.006913086,3,4,0.436182522,-0.379538972,-2.154907062,0.26388761,-0.5606391
2,3.666666667,5,5,5,-0.039936198,1.11742044,-2.345113364,3,5,2.756802828,0.030282691,-0.288045584,-1.0850369,0.03115263
5,5,5,1,5,-0.039936198,-0.930388172,-0.481288477,3,3,0.676279348,-0.077202075,-0.147566354,-0.4469051,-0.9519016
2.5,3.666666667,4.5,2,2.5,1.178495262,0.093516134,0.433785628,3,4,1.971591603,-0.23623185,0.844314447,1.02136649,-0.0956303
1.5,4,5,2.5,2,-0.038469364,0.093516134,-0.023751424,2,2,-0.618016459,0.567488698,1.061078771,-0.3519733,0.91980836
2,4,4.5,5,2.5,-0.665154106,-1.468687675,-0.023751424,2,4,-0.873066973,-1.313865446,-2.461833077,-0.3254136,-0.4248789
1.5,4.333333333,3,5,3.5,-0.258521341,0.093516134,0.908161019,3,2,-0.824728363,-0.092263427,0.488121474,0.2617432,0.36040115
1,4.333333333,2,4.5,3.5,-0.038469364,-1.954292478,-0.464450139,2,2,-0.532631583,-1.2861029,-0.188461089,-0.3498289,-0.0012319
2,4.333333333,3.5,3.5,4,0.739858142,0.093516134,0.450623966,2,2,0.290642356,-0.333575703,-0.069459804,0.28615849,-0.0632458
4.5,3,5,1,5,-0.63314975,1.11742044,1.38253641,3,5,2.031746893,-0.146783381,1.212031383,1.24207856,0.46102183
3.5,4.333333333,4.5,1.5,3.5,-1.038315681,1.11742044,0.924999357,4,4,0.422245281,0.160888618,-0.197883891,0.48459968,-0.0039869
3.5,2.666666667,4,2.5,3,1.365076049,-0.930388172,-0.023751424,3,4,0.14510219,-0.712495449,0.784813804,0.3631082,-0.5310096
4,4,4,1.5,4.5,-1.038315681,0.093516134,0.450623966,4,2,-0.232379466,-0.006118753,0.087803877,-1.204384,-1.4169103
3.5,4.333333333,4.5,1.5,4,1.178495262,0.093516134,0.450623966,4,4,-0.741464048,-0.226008724,-0.049803316,0.38537908,-0.0336164
5,4.666666667,4,2.5,3,0.959910119,-0.392088669,0.450623966,2,2,1.18536393,0.470144845,0.14730452,0.48459968,-0.0039869
1,2.666666667,3,4,4,1.551656837,0.093516134,-0.464450139,1,2,-0.363982392,-0.128664871,0.863970935,0.38537908,-0.0336164
2,4,3.5,3,2,-0.039936198,-0.930388172,-0.481288477,3,4,-0.363982392,0.250172662,-0.150438391,-1.0850369,0.03115263
3,4,4.5,4,2.5,0.553277354,-0.930388172,-1.41320092,1,1,-1.150210065,-2.214929847,-3.592371652,0.28615849,-0.0632458
2,3.333333333,4,1.5,5,-1.038315681,1.11742044,-1.41320092,2,4,0.699388373,-0.146368717,-2.623790252,1.14500238,-0.4896479
2,3.333333333,4,3.5,3.5,-0.445102129,-0.983082871,-0.481288477,2,3,-1.404244132,0.250172662,-0.150438391,-0.3476845,-0.9222721
2.5,3,2.5,2.5,3,1.551656837,-0.930388172,-0.006913086,4,4,0.058700866,0.127544331,0.465592949,-0.4469051,-0.9519016
3,3,4.5,4,4.5,-0.039936198,-1.521382374,0.009925252,4,5,-0.458539052,0.967666324,0.306507812,1.07019708,-0.9429243
2,3,3,4,2,1.145024072,-1.954292478,-1.41320092,3,2,-0.363982392,-1.112093985,-1.976165436,0.53128585,0.06975934
2.5,2.666666667,2,4.5,3.5,1.956822768,-0.930388172,-0.93882553,2,4,0.676279348,-1.048012207,-0.238778627,-0.469176,-1.4492948
3.5,3.666666667,3,2.5,5,0.771862497,0.579120937,-0.006913086,2,4,0.444337859,-1.490931518,-0.96175611,-0.3742442,0.42241512
3.5,3.666666667,4.5,2,4,-0.226516986,1.11742044,-1.41320092,3,3,1.354013121,0.04526183,-1.08386913,0.97468032,-0.1693766
2.5,3.666666667,4,3,3,2.395459888,-0.983082871,-0.006913086,4,5,0.954438888,1.151154849,0.819964466,0.46018438,0.41966008
4,3.333333333,5,1,2.5,-0.445102129,1.11742044,-0.955663868,2,3,-0.340873367,1.072093932,-0.121598798,1.24207856,0.46102183
1,2.333333333,3.5,4.5,1.5,-0.446568963,0.631815637,-1.41320092,2,2,-1.18725633,-0.464181629,-0.159621496,1.21980768,-0.0363714
3.5,2.666666667,3,2.5,2.5,1.177028428,0.040821435,-0.006913086,3,4,-0.132040902,-0.412718833,-1.171158785,-0.4713204,-0.5282546
2.5,4,4.5,2,4.5,-0.446568963,1.11742044,0.450623966,2,2,-0.641125484,1.151237062,0.980100183,-0.2527527,0.94943783
2.5,4.333333333,4,3.5,4.5,-0.445102129,1.11742044,1.38253641,3,5,1.062932789,0.913146369,1.030417721,-1.8223893,0.98457736
5,2,4,1.5,5,0.958443285,1.11742044,1.38253641,1,1,0.459291547,0.012081969,-0.100120853,1.24207856,0.46102183
1,3,4,2.5,2.5,-0.445102129,0.146210834,-0.464450139,2,2,1.148317664,-2.10802417,-0.217300682,-1.0606216,-0.3924944
2.5,2.333333333,3.5,2,3.5,0.958443285,-0.444783369,-0.481288477,2,2,1.18536393,-1.15541476,0.061836321,-1.1598422,-0.4221238
3,4.333333333,4,3,2.5,-0.226516986,-0.33939397,-0.006913086,4,4,-0.363982392,0.913146369,1.030417721,1.12058708,-0.0660009
4,4.333333333,5,1,4.5,-1.038315681,0.579120937,0.908161019,2,4,-0.749619384,0.58568942,0.87315404,1.14285797,0.43139236
3,4,4.5,3,2,1.771708814,-2.978196784,-0.93882553,1,5,-1.404244132,-1.757281635,0.490875356,-2.0653723,-0.0694681
3,4.333333333,3.5,1,2.5,0.148111423,1.11742044,0.908161019,1,3,-0.749619384,0.436882771,0.970917078,1.11844267,0.85503936
2,4.666666667,4.5,1.5,5,-0.63314975,1.11742044,-0.481288477,3,4,-1.041716164,0.012081969,-0.100120853,0.40764997,0.46377687
1.5,3.666666667,4,4.5,2.5,-0.665154106,0.093516134,0.450623966,1,4,0.400152704,-0.244209446,0.138121414,0.36096379,0.39003062
3,3.666666667,2.5,3,5,0.991914474,1.11742044,0.924999357,2,4,0.081809891,0.470062632,-0.012831198,0.48459968,-0.0039869
1.5,3.333333333,4,2,3.5,-0.039936198,-0.444783369,-0.006913086,1,3,0.130148501,-2.074679883,-0.880777523,0.38537908,-0.0336164
1,3.333333333,3.5,2.5,4,-0.039936198,-0.444783369,-1.41320092,1,2,0.871174572,0.048483414,-0.475970314,-0.3498289,-0.0012319
3,4,3.5,3,3.5,0.771862497,-0.877693472,0.450623966,4,2,-0.363982392,1.072011719,-0.281734516,0.38537908,-0.0336164
1,4,5,4,5,-1.038315681,0.093516134,0.924999357,1,4,-1.12710104,-0.006036541,0.247939595,-1.7899814,-0.4779729
3,4.333333333,5,1,5,-1.038315681,1.11742044,-2.345113364,1,1,0.313751381,-0.632608803,-1.308765978,-0.2484639,-0.8926426
4,2.333333333,3.5,2.5,2.5,1.363609215,0.093516134,-0.006913086,4,3,0.14510219,0.063462553,-1.27179386,-0.570541,-0.5578841
2,4.666666667,5,2,2,-1.038315681,0.093516134,-0.464450139,2,4,-0.255488491,-0.146865594,1.051895665,1.21766327,0.88466882
1.5,2.666666667,3,4.5,4,1.145024072,0.093516134,-1.396362582,2,3,0.699388373,-1.01466792,-0.902255468,0.3631082,-0.5310096
2.5,3,3,2,3.5,1.583661193,0.631815637,-0.498126815,4,5,-0.292534757,-0.535347164,-0.555127445,-0.3195654,-0.5427419
3.5,3.666666667,4,1.5,4,-1.038315681,0.093516134,0.450623966,3,4,-0.0868393,0.250172662,-0.150438391,0.3631082,-0.5310096
1.5,3.666666667,5,2.5,2.5,-1.038315681,-1.415992975,-0.481288477,2,4,-1.12710104,-0.006118753,0.087803877,-0.327558,0.49616137
4,3.666666667,2.5,1,4.5,1.77024198,0.093516134,0.450623966,1,3,1.425460756,-1.375304731,-0.075770872,0.28615849,-0.0632458
4.5,5,5,1,3,-1.038315681,-0.930388172,-0.481288477,3,3,-1.295750231,0.23197194,0.037486339,0.28615849,-0.0632458
4,3,4.5,4.5,5,1.365076049,0.579120937,0.450623966,2,2,-0.027700457,1.072011719,-0.281734516,-1.062766,0.52854587
2.5,4.333333333,5,1,4,-1.038315681,1.11742044,-1.41320092,1,2,-0.386074969,1.072755234,-3.477013279,1.26649385,0.03737484
2,4,4,2,4,-1.038315681,0.093516134,-0.955663868,1,2,0.930313415,-1.119013316,-0.31401314,-1.1295787,-0.9636339
4,4.666666667,3,2.5,4.5,-0.445102129,0.631815637,0.908161019,5,4,-0.618016459,1.310102412,-0.332052053,0.38323467,0.88742386
1,4,3,3,4.5,0.146644589,1.11742044,0.450623966,2,4,-0.749619384,0.567488698,1.061078771,1.21980768,-0.0363714
2,4,4,3,4,-0.445102129,1.11742044,-0.481288477,3,1,0.14510219,-1.01466792,-0.902255468,0.48674409,-0.9250271
3,1.333333333,5,1.5,3.5,-0.226516986,0.093516134,-0.481288477,1,3,-0.472476292,0.488345567,-0.040620211,1.20182562,-2.3758451
2.5,4,2.5,3.5,3,1.956822768,-0.444783369,0.450623966,2,4,-0.14699459,0.250172662,-0.150438391,-0.4490495,-0.0308613
3,3,3.5,2.5,2.5,0.956976451,-0.392088669,-1.41320092,1,4,0.399136256,-0.297256471,-0.605444982,0.26388761,-0.5606391
3,3,3,3,2.5,0.958443285,-0.444783369,-0.481288477,3,3,0.530739182,-0.431001768,-1.143369773,-0.4246342,-0.4545083
4.5,4,4,2,5,-0.038469364,0.093516134,-0.481288477,2,4,0.190303792,0.012081969,-0.100120853,0.36096379,0.39003062
2,4,2.5,3.5,3.5,2.175407911,0.146210834,0.908161019,3,5,0.036608289,1.072093932,-0.121598798,1.19753679,-0.5337646
1.5,3.333333333,4,4.5,2.5,-0.039936198,-1.415992975,-0.498126815,3,2,-1.404244132,-1.649879081,0.190260409,0.38323467,0.88742386
4,3.333333333,4.5,1.5,3,-0.038469364,0.093516134,1.38253641,2,3,0.14510219,0.693256399,0.892810528,1.0983162,-0.5633941
4,3,2,3,2.5,1.77024198,-0.392088669,-1.396362582,4,5,-0.015391665,0.769839248,-1.968803788,-0.5726854,0.36315618
1,2.666666667,1.5,5,4,2.143403555,-1.954292478,0.450623966,4,4,0.144085742,1.389327755,0.929782646,-0.9635454,0.55817534
2.5,3.666666667,3,3.5,4,0.146644589,-0.444783369,-0.006913086,3,3,-0.363982392,0.488263355,-0.200755929,-0.4490495,-0.0308613
5,4.333333333,4.5,2,4.5,-0.039936198,0.093516134,0.450623966,2,4,-0.0868393,-0.384956286,1.102213203,0.40764997,0.46377687
1,4,3,2,2.5,1.366542883,-1.468687675,-0.023751424,1,2,-0.472476292,-0.226008724,-0.049803316,-0.3498289,-0.0012319
3.5,3.666666667,4,2,2.5,-0.445102129,-0.930388172,-1.870737973,2,2,-0.387091417,-0.394518111,-1.359083515,-1.062766,0.52854587
1,3.666666667,5,1,5,-1.038315681,1.11742044,-0.481288477,1,4,-1.404244132,-1.555013297,-2.69914292,1.26649385,0.03737484
2,4,4,2.5,5,0.958443285,0.579120937,0.450623966,1,2,1.354013121,0.012081969,-0.100120853,-0.3254136,-0.4248789
3,3.333333333,3.5,3,4,0.146644589,-0.877693472,0.450623966,2,3,-0.363982392,0.250172662,-0.150438391,-0.4490495,-0.0308613
1,3.333333333,3.5,3,2,-0.631682916,-0.392088669,-0.955663868,2,2,-1.295750231,-0.226090937,-0.209939034,-0.4490495,-0.0308613
4,5,4,1.5,3.5,-0.038469364,0.579120937,-0.481288477,2,3,0.807882274,0.931347092,0.842492991,-0.3519733,0.91980836
